iter	Logloss
0	0.6449091302
1	0.5975416508
2	0.5517998739
3	0.5137488269
4	0.4796810837
5	0.4521753814
6	0.428695202
7	0.4055098581
8	0.3871229741
9	0.3720935306
10	0.3592134149
11	0.3483587631
12	0.3383787265
13	0.3262389114
14	0.3159904917
15	0.3038807653
16	0.2973100831
17	0.2889383957
18	0.2846949402
19	0.2799203065
20	0.2734315289
21	0.2671279224
22	0.2624438569
23	0.2583518695
24	0.2531153861
25	0.2505841047
26	0.2469054313
27	0.2445333508
28	0.241685044
29	0.2383554858
30	0.2367400338
31	0.2355295622
32	0.2346996398
33	0.2334901643
34	0.231965268
35	0.2306410936
36	0.2291421061
37	0.228346751
38	0.2273166448
39	0.2262817863
40	0.2255942252
41	0.2246953054
42	0.2239559523
43	0.2229002452
44	0.222383374
45	0.221482306
46	0.2205295562
47	0.2197214888
48	0.2188283691
49	0.2180416745
50	0.217516265
51	0.2169211853
52	0.2165804088
53	0.2160159933
54	0.2155596261
55	0.2152300627
56	0.2145334343
57	0.2139250731
58	0.2134916672
59	0.2132464083
60	0.2129540309
61	0.2125093131
62	0.2121266203
63	0.2117382163
64	0.2114830641
65	0.2110953501
66	0.2107057295
67	0.2102897192
68	0.2100823986
69	0.2096902218
70	0.2093200821
71	0.2089777792
72	0.208334427
73	0.2079951445
74	0.2078418918
75	0.2074398198
76	0.2071898446
77	0.206909676
78	0.2066426641
79	0.206381574
80	0.2060735273
81	0.2057597381
82	0.2053883849
83	0.205088574
84	0.2048085718
85	0.2044755664
86	0.2042796131
87	0.2039949956
88	0.2035908775
89	0.2032637232
90	0.2028970496
91	0.202627717
92	0.2023985267
93	0.2022172582
94	0.201972841
95	0.2018335393
96	0.2016271806
97	0.2015014986
98	0.2013655548
99	0.2011502437
100	0.2009396221
101	0.2006693101
102	0.2004996857
103	0.2003926364
104	0.2001714335
105	0.1999434947
106	0.1996805162
107	0.1995196207
108	0.199309406
109	0.1992156407
110	0.1991072957
111	0.1988092921
112	0.1986783925
113	0.1984739798
114	0.1982647118
115	0.1982069966
116	0.1981019137
117	0.1978140744
118	0.1976610674
119	0.1974204481
120	0.1970845412
121	0.1969126779
122	0.1967534733
123	0.1965622913
124	0.1964170693
125	0.1962862057
126	0.196172067
127	0.1959066088
128	0.1957934245
129	0.1957059096
130	0.1955041993
131	0.1954365783
132	0.1952583925
133	0.1951473236
134	0.1949299286
135	0.1948312609
136	0.1946076419
137	0.1945041533
138	0.194217594
139	0.1940559167
140	0.1937712609
141	0.1936105029
142	0.1934546531
143	0.1932551128
144	0.1930230347
145	0.1928308973
146	0.1926693171
147	0.1925433437
148	0.1923692314
149	0.1921542744
150	0.1920066714
151	0.1918523407
152	0.1917498241
153	0.1915276257
154	0.1912792935
155	0.1911229127
156	0.1910258554
157	0.1909634435
158	0.1908710123
159	0.1907208655
160	0.1906292253
161	0.1905024211
162	0.1903159022
163	0.190125266
164	0.1899809618
165	0.1898269018
166	0.1897008562
167	0.1895745656
168	0.1894587322
169	0.1893623936
170	0.1892555715
171	0.1891150077
172	0.1890305333
173	0.1887116212
174	0.1885638495
175	0.1883038681
176	0.188149159
177	0.187939204
178	0.1878381579
179	0.1876429317
180	0.1875055581
181	0.1873221236
182	0.187222621
183	0.1871225178
184	0.1869984435
185	0.1867855692
186	0.1865816465
187	0.1864335007
188	0.1863526047
189	0.1862034377
190	0.1859490919
191	0.1857204376
192	0.1856532796
193	0.1855106803
194	0.1853617498
195	0.1851543126
196	0.1849350718
197	0.1848334227
198	0.1846627019
199	0.1845324686
