iter	Passed	Remaining
0	1	121
1	3	115
2	5	115
3	6	112
4	8	110
5	9	108
6	11	106
7	13	106
8	14	104
9	16	102
10	18	100
11	19	99
12	21	97
13	23	96
14	25	95
15	26	93
16	28	91
17	30	90
18	31	88
19	33	87
20	35	85
21	36	83
22	38	82
23	40	80
24	43	81
25	45	80
26	48	80
27	50	79
28	52	78
29	55	77
30	57	76
31	60	75
32	62	74
33	65	73
34	67	71
35	70	70
36	74	70
37	77	69
38	81	68
39	83	67
40	86	65
41	88	63
42	91	61
43	93	59
44	95	57
45	98	55
46	100	53
47	103	51
48	105	49
49	108	47
50	110	45
51	113	43
52	115	41
53	117	39
54	120	37
55	122	35
56	125	32
57	127	30
58	129	28
59	132	26
60	134	24
61	137	22
62	139	19
63	142	17
64	144	15
65	147	13
66	149	11
67	152	8
68	157	6
69	159	4
70	162	2
71	164	0
