number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_learning_rate,state
0,0.9623113403689981,2025-07-19 15:51:30.991579,2025-07-19 15:51:31.567108,0 days 00:00:00.575529,3,80,0.04452942471382602,COMPLETE
1,0.965029539023003,2025-07-19 15:51:31.568542,2025-07-19 15:51:32.119661,0 days 00:00:00.551119,7,53,0.11300967684924212,COMPLETE
2,0.9588821403192607,2025-07-19 15:51:32.120785,2025-07-19 15:51:33.505017,0 days 00:00:01.384232,7,160,0.22863436862815656,COMPLETE
3,0.962254141293189,2025-07-19 15:51:33.506134,2025-07-19 15:51:37.132246,0 days 00:00:03.626112,10,118,0.10335753222005874,COMPLETE
4,0.9626746247921831,2025-07-19 15:51:37.134035,2025-07-19 15:51:38.089643,0 days 00:00:00.955608,7,113,0.18830141894289415,COMPLETE
5,0.9648325052639501,2025-07-19 15:51:38.090853,2025-07-19 15:51:38.648890,0 days 00:00:00.558037,4,84,0.08939627251274636,COMPLETE
6,0.9645981921791701,2025-07-19 15:51:38.650105,2025-07-19 15:51:39.719363,0 days 00:00:01.069258,5,190,0.11602973591505956,COMPLETE
7,0.9591689600618675,2025-07-19 15:51:39.721479,2025-07-19 15:51:41.234772,0 days 00:00:01.513293,8,97,0.2538585660855833,COMPLETE
8,0.9648089730765627,2025-07-19 15:51:41.236120,2025-07-19 15:51:41.891262,0 days 00:00:00.655142,3,97,0.08593277553007507,COMPLETE
9,0.9651687496007507,2025-07-19 15:51:41.892553,2025-07-19 15:51:42.434797,0 days 00:00:00.542244,6,52,0.09638219426684402,COMPLETE
10,0.9606978538883139,2025-07-19 15:51:42.436339,2025-07-19 15:51:43.790824,0 days 00:00:01.354485,9,54,0.2975639816696848,COMPLETE
11,0.9611160543692093,2025-07-19 15:51:43.792111,2025-07-19 15:51:44.229767,0 days 00:00:00.437656,6,50,0.014659311126703656,COMPLETE
12,0.9650772599868013,2025-07-19 15:51:44.231150,2025-07-19 15:51:44.787402,0 days 00:00:00.556252,6,67,0.15157663285710266,COMPLETE
13,0.9643392957970799,2025-07-19 15:51:44.788787,2025-07-19 15:51:46.129930,0 days 00:00:01.341143,5,140,0.1567664404178167,COMPLETE
14,0.9652824109569554,2025-07-19 15:51:46.131650,2025-07-19 15:51:46.765283,0 days 00:00:00.633633,5,72,0.16228814220689625,COMPLETE
