number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9645493209099346,2025-07-19 16:25:38.232735,2025-07-19 16:25:39.269913,0 days 00:00:01.037178,0.1253886386463198,3,131,COMPLETE
1,0.9644192350585419,2025-07-19 16:25:39.270987,2025-07-19 16:25:40.306713,0 days 00:00:01.035726,0.06373044941108154,3,126,COMPLETE
2,0.9356666510713335,2025-07-19 16:25:40.308217,2025-07-19 16:25:44.550463,0 days 00:00:04.242246,0.2495054830207689,9,169,COMPLETE
3,0.9514488542548097,2025-07-19 16:25:44.551935,2025-07-19 16:25:47.181723,0 days 00:00:02.629788,0.17529710863120757,6,188,COMPLETE
4,0.9637748603951158,2025-07-19 16:25:47.182895,2025-07-19 16:25:49.910966,0 days 00:00:02.728071,0.019734209356413075,6,197,COMPLETE
5,0.9627311352359055,2025-07-19 16:25:49.912297,2025-07-19 16:25:51.279856,0 days 00:00:01.367559,0.27682305894390885,3,178,COMPLETE
6,0.9531391273353381,2025-07-19 16:25:51.281130,2025-07-19 16:25:56.147133,0 days 00:00:04.866003,0.035670222992962804,10,181,COMPLETE
7,0.9389971772059917,2025-07-19 16:25:56.148342,2025-07-19 16:25:59.673011,0 days 00:00:03.524669,0.2644196904789391,8,166,COMPLETE
8,0.9604665079459135,2025-07-19 16:25:59.674281,2025-07-19 16:26:00.842143,0 days 00:00:01.167862,0.02074554087694032,7,67,COMPLETE
9,0.960563778474029,2025-07-19 16:26:00.843658,2025-07-19 16:26:02.614622,0 days 00:00:01.770964,0.14980913273864677,5,147,COMPLETE
10,0.9645856683126038,2025-07-19 16:26:02.615755,2025-07-19 16:26:03.467510,0 days 00:00:00.851755,0.10670953768890697,4,81,COMPLETE
11,0.9649401341118854,2025-07-19 16:26:03.468643,2025-07-19 16:26:04.274092,0 days 00:00:00.805449,0.10398218414627713,4,73,COMPLETE
12,0.9641774227205984,2025-07-19 16:26:04.275593,2025-07-19 16:26:05.279997,0 days 00:00:01.004404,0.10150306806017795,5,76,COMPLETE
13,0.9644177198162452,2025-07-19 16:26:05.281369,2025-07-19 16:26:06.239521,0 days 00:00:00.958152,0.09570856407334252,4,92,COMPLETE
14,0.9630956241847403,2025-07-19 16:26:06.241041,2025-07-19 16:26:06.848792,0 days 00:00:00.607751,0.1797012776721501,5,51,COMPLETE
