number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,params_num_leaves,state
0,0.9631039925744571,2025-07-18 14:10:58.092154,2025-07-18 14:11:04.094347,0 days 00:00:06.002193,0.09820045334474796,70,20,COMPLETE
1,0.9504280221570545,2025-07-18 14:11:04.097511,2025-07-18 14:11:09.991381,0 days 00:00:05.893870,0.19082214065704323,124,107,COMPLETE
2,0.9614538165018042,2025-07-18 14:11:09.992935,2025-07-18 14:11:15.042936,0 days 00:00:05.050001,0.04956735299688143,64,97,COMPLETE
3,0.9553232006361334,2025-07-18 14:11:15.044825,2025-07-18 14:11:15.546063,0 days 00:00:00.501238,0.17097371005955686,70,90,COMPLETE
4,0.9501600153652535,2025-07-18 14:11:15.550058,2025-07-18 14:11:16.826458,0 days 00:00:01.276400,0.15316683288901534,175,122,COMPLETE
5,0.9547392474612953,2025-07-18 14:11:16.831095,2025-07-18 14:11:17.552192,0 days 00:00:00.721097,0.15761412408808084,97,104,COMPLETE
6,0.9629257411343385,2025-07-18 14:11:17.554095,2025-07-18 14:11:17.821158,0 days 00:00:00.267063,0.010802274490587585,108,30,COMPLETE
7,0.9632357246630256,2025-07-18 14:11:17.823157,2025-07-18 14:11:18.152801,0 days 00:00:00.329644,0.01818558501946564,86,25,COMPLETE
8,0.9616385482525761,2025-07-18 14:11:18.154851,2025-07-18 14:11:18.829361,0 days 00:00:00.674510,0.042875506665666245,72,118,COMPLETE
9,0.9539049037280171,2025-07-18 14:11:18.831387,2025-07-18 14:11:19.813136,0 days 00:00:00.981749,0.10112544963860767,178,87,COMPLETE
10,0.9621182294982975,2025-07-18 14:11:19.815282,2025-07-18 14:11:20.396374,0 days 00:00:00.581092,0.010175353702568238,151,50,COMPLETE
11,0.9614355879003113,2025-07-18 14:11:20.398421,2025-07-18 14:11:20.724367,0 days 00:00:00.325946,0.109732263128427,92,23,COMPLETE
12,0.9614169412383676,2025-07-18 14:11:20.726450,2025-07-18 14:11:21.116388,0 days 00:00:00.389938,0.0834229560722851,53,64,COMPLETE
13,0.9562557953013412,2025-07-18 14:11:21.118662,2025-07-18 14:11:21.975240,0 days 00:00:00.856578,0.12857054772287424,86,150,COMPLETE
14,0.9600405798141223,2025-07-18 14:11:21.977070,2025-07-18 14:11:22.405990,0 days 00:00:00.428920,0.0756077413818304,121,48,COMPLETE
