number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9641784621116759,2025-07-19 15:49:58.218275,2025-07-19 15:49:59.829389,0 days 00:00:01.611114,1.4676037721125679,COMPLETE
1,0.9640678938996192,2025-07-19 15:49:59.830620,2025-07-19 15:50:00.133638,0 days 00:00:00.303018,4.022968666190247,COMPLETE
2,0.9640660435930416,2025-07-19 15:50:00.136769,2025-07-19 15:50:00.446781,0 days 00:00:00.310012,6.637227493563598,COMPLETE
3,0.9640702154577286,2025-07-19 15:50:00.448011,2025-07-19 15:50:00.705182,0 days 00:00:00.257171,7.599432725015113,COMPLETE
4,0.9640669672435941,2025-07-19 15:50:00.706651,2025-07-19 15:50:00.961060,0 days 00:00:00.254409,4.560071854723749,COMPLETE
5,0.9640632589801444,2025-07-19 15:50:00.962529,2025-07-19 15:50:01.232512,0 days 00:00:00.269983,4.738504938058714,COMPLETE
6,0.9640602461640886,2025-07-19 15:50:01.234276,2025-07-19 15:50:01.567460,0 days 00:00:00.333184,5.805256135364399,COMPLETE
7,0.964140915784868,2025-07-19 15:50:01.571132,2025-07-19 15:50:01.945270,0 days 00:00:00.374138,2.8881232993973023,COMPLETE
8,0.9640609427043813,2025-07-19 15:50:01.947304,2025-07-19 15:50:02.374350,0 days 00:00:00.427046,5.975575407569028,COMPLETE
9,0.9643784893333612,2025-07-19 15:50:02.375611,2025-07-19 15:50:02.657633,0 days 00:00:00.282022,0.683536261931322,COMPLETE
10,-inf,2025-07-19 15:50:02.659726,2025-07-19 15:50:02.664107,0 days 00:00:00.004381,,COMPLETE
11,0.964752419296082,2025-07-19 15:50:02.665681,2025-07-19 15:50:02.880980,0 days 00:00:00.215299,0.06721714960797742,COMPLETE
12,0.9648981997084962,2025-07-19 15:50:02.882689,2025-07-19 15:50:03.105440,0 days 00:00:00.222751,0.07990096860212877,COMPLETE
13,0.9645025003419535,2025-07-19 15:50:03.106833,2025-07-19 15:50:03.363721,0 days 00:00:00.256888,0.3051073238331883,COMPLETE
14,0.9641580662073287,2025-07-19 15:50:03.365361,2025-07-19 15:50:03.669234,0 days 00:00:00.303873,2.177415061274916,COMPLETE
