number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9367138596158756,2025-07-19 16:24:26.506255,2025-07-19 16:24:27.151521,0 days 00:00:00.645266,4.0,139,COMPLETE
1,0.9562315943704008,2025-07-19 16:24:27.152672,2025-07-19 16:24:27.919058,0 days 00:00:00.766386,10.0,133,COMPLETE
2,0.950537877641179,2025-07-19 16:24:27.920191,2025-07-19 16:24:28.368448,0 days 00:00:00.448257,7.0,104,COMPLETE
3,0.9592718707933754,2025-07-19 16:24:28.369635,2025-07-19 16:24:28.878229,0 days 00:00:00.508594,14.0,89,COMPLETE
4,0.9386386900131284,2025-07-19 16:24:28.879402,2025-07-19 16:24:29.523127,0 days 00:00:00.643725,4.0,148,COMPLETE
5,0.9589181658179768,2025-07-19 16:24:29.524709,2025-07-19 16:24:30.519537,0 days 00:00:00.994828,14.0,188,COMPLETE
6,0.938121822296251,2025-07-19 16:24:30.520774,2025-07-19 16:24:30.868153,0 days 00:00:00.347379,4.0,92,COMPLETE
7,0.9501516669964745,2025-07-19 16:24:30.869462,2025-07-19 16:24:31.599143,0 days 00:00:00.729681,7.0,152,COMPLETE
8,0.9590068668117321,2025-07-19 16:24:31.600165,2025-07-19 16:24:32.178851,0 days 00:00:00.578686,14.0,86,COMPLETE
9,0.9548548140268324,2025-07-19 16:24:32.179983,2025-07-19 16:24:32.918171,0 days 00:00:00.738188,9.0,136,COMPLETE
10,0.9581078685117058,2025-07-19 16:24:32.919400,2025-07-19 16:24:33.307037,0 days 00:00:00.387637,12.0,50,COMPLETE
11,0.958864948427481,2025-07-19 16:24:33.308256,2025-07-19 16:24:33.816481,0 days 00:00:00.508225,15.0,67,COMPLETE
12,0.9587324197061659,2025-07-19 16:24:33.817673,2025-07-19 16:24:34.427386,0 days 00:00:00.609713,13.0,91,COMPLETE
13,0.9570541028382568,2025-07-19 16:24:34.428826,2025-07-19 16:24:35.081930,0 days 00:00:00.653104,11.0,110,COMPLETE
14,-inf,2025-07-19 16:24:35.083154,2025-07-19 16:24:35.092472,0 days 00:00:00.009318,,67,COMPLETE
