total_visits,time_per_visit,lead_origin,lead_source,do_not_email,do_not_call,converted,country,specialization,how_did_you_hear_about_x_education,what_is_your_current_occupation,what_matters_most_to_you_in_choosing_a_course,tags,city,a_free_copy_of_mastering_the_interview,no_contact_allowed,lead_source_channel,is_from_india,total_visits_binned,total_time_spent_on_website_binned,page_views_per_visit_binned
0.0,0.0,API,Olark Chat,0,0,0,Unknown_Country,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
5.0,134.8,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,High_Visits,High_Engagement,Medium_Page_Views
2.0,766.0,Landing Page Submission,Direct Traffic,0,0,1,India,Business Administration,,Student,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
1.0,305.0,Landing Page Submission,Direct Traffic,0,0,0,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
2.0,714.0,Landing Page Submission,Google,0,0,1,India,Not_Specified,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
0.0,0.0,API,Olark Chat,0,0,0,Unknown_Country,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,0,Low_Visits,Low_Engagement,Low_Page_Views
2.0,820.0,Landing Page Submission,Google,0,0,1,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Low_Visits,Very_High_Engagement,Low_Page_Views
2.0,35.5,Landing Page Submission,Direct Traffic,0,0,0,India,IT Projects Management,,Not_Specified,Not_Specified,,Thane & Outskirts,1,0,Other_Source,1,Low_Visits,Low_Engagement,Low_Page_Views
4.0,14.5,API,Google,0,0,0,India,Finance Management,Word Of Mouth,Not_Specified,Not_Specified,,Mumbai,0,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
8.0,168.875,Landing Page Submission,Organic Search,0,0,1,India,Travel and Tourism,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Metro Cities,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Very_High_Page_Views
8.0,167.875,Landing Page Submission,Direct Traffic,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Lost to EINS,Thane & Outskirts,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
9.5,161.89473684210526,API,Organic Search,0,0,1,India,Marketing Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Very_High_Page_Views
5.0,34.0,Landing Page Submission,Organic Search,0,0,0,India,Business Administration,,Unemployed,Better Career Prospects,Ringing,Thane & Outskirts,1,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
1.0,481.0,Landing Page Submission,Direct Traffic,0,0,0,Other_Country,Business Administration,,Unemployed,Better Career Prospects,,Unknown_City,0,0,Other_Source,0,Low_Visits,High_Engagement,Low_Page_Views
6.0,168.66666666666666,API,Organic Search,0,0,1,India,Not_Specified,,Unemployed,Better Career Prospects,Will revert after reading the email,Unknown_City,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
6.0,162.16666666666666,API,Referral Sites,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Very_High_Visits,High_Engagement,Very_High_Page_Views
6.0,281.3333333333333,Landing Page Submission,Google,0,0,1,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
3.0,32.666666666666664,API,Organic Search,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
1.0,233.0,Landing Page Submission,Google,0,0,0,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
4.0,94.25,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,In confusion whether part time or DLP,Unknown_City,0,0,Other_Source,1,High_Visits,High_Engagement,Low_Page_Views
1.0,1013.0,Landing Page Submission,Google,0,0,1,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Low_Visits,High_Engagement,Low_Page_Views
4.0,192.75,Landing Page Submission,Google,0,0,0,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,High_Page_Views
6.0,189.5,API,Google,0,0,1,India,Marketing Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Low_Page_Views
3.0,356.0,Landing Page Submission,Google,0,0,1,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,Busy,Mumbai,0,0,Other_Source,1,Medium_Visits,High_Engagement,High_Page_Views
4.0,250.0,Landing Page Submission,Organic Search,0,0,1,India,Finance Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities,1,0,Other_Source,1,High_Visits,High_Engagement,Low_Page_Views
6.0,219.16666666666666,Landing Page Submission,Google,0,0,1,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,Very_High_Page_Views
5.0,36.4,Landing Page Submission,Direct Traffic,0,0,0,India,Not_Specified,,Student,Better Career Prospects,switched off,Mumbai,0,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
3.0,26.0,API,Google,0,0,1,India,International Business,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
7.0,167.71428571428572,Landing Page Submission,Direct Traffic,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,Very_High_Visits,Very_High_Engagement,High_Page_Views
3.0,29.333333333333332,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,Medium_Visits,Low_Engagement,Low_Page_Views
4.0,55.75,API,Referral Sites,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Interested in other courses,Unknown_City,0,0,Other_Source,1,High_Visits,Medium_Engagement,Low_Page_Views
3.0,24.666666666666668,API,Organic Search,0,0,0,India,Not_Specified,,Not_Specified,Not_Specified,,Unknown_City,0,0,Other_Source,1,Medium_Visits,Low_Engagement,Low_Page_Views
4.0,4.0,Landing Page Submission,Organic Search,0,0,1,India,Other_Specialization,,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1,0,Other_Source,1,High_Visits,Low_Engagement,Low_Page_Views
3.0,32.666666666666664,API,Referral Sites,0,0,1,India,Human Resource Management,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0,0,Other_Source,1,Medium_Visits,Low_Engagement,High_Page_Views
4.0,405.5,Landing Page Submission,Google,0,0,0,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Mumbai,0,0,Other_Source,1,High_Visits,Very_High_Engagement,High_Page_Views
5.0,112.6,Landing Page Submission,Google,0,0,1,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0,0,Other_Source,1,High_Visits,High_Engagement,Very_High_Page_Views
2.0,155.0,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,Low_Visits,Medium_Engagement,Low_Page_Views
4.0,6.25,Landing Page Submission,Google,0,0,1,India,Operations Management,Email,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0,0,Other_Source,1,High_Visits,Low_Engagement,High_Page_Views
3.0,114.0,API,Direct Traffic,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Busy,Unknown_City,0,0,Other_Source,1,Medium_Visits,Medium_Engagement,High_Page_Views
7.0,5.428571428571429,Landing Page Submission,Organic Search,0,0,0,India,Other_Specialization,Word Of Mouth,Unemployed,Better Career Prospects,Busy,Mumbai,1,0,Other_Source,1,Very_High_Visits,Low_Engagement,Very_High_Page_Views
5.0,39.8,API,Google,0,0,0,India,Not_Specified,,Unemployed,Better Career Prospects,Ringing,Unknown_City,0,0,Other_Source,1,High_Visits,Medium_Engagement,Very_High_Page_Views
