number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,state
0,0.9634270082524545,2025-07-19 15:50:25.650194,2025-07-19 15:50:27.750804,0 days 00:00:02.100610,0.20712438363223756,7,78,COMPLETE
1,0.965320638705617,2025-07-19 15:50:27.752453,2025-07-19 15:50:28.655400,0 days 00:00:00.902947,0.23623456693512368,3,85,COMPLETE
2,0.9610006086902171,2025-07-19 15:50:28.657389,2025-07-19 15:50:38.232082,0 days 00:00:09.574693,0.06391792943538008,10,195,COMPLETE
3,0.9653280861524564,2025-07-19 15:50:38.233388,2025-07-19 15:50:39.830555,0 days 00:00:01.597167,0.2314402765054748,3,113,COMPLETE
4,0.9656027209026116,2025-07-19 15:50:39.831784,2025-07-19 15:50:41.702308,0 days 00:00:01.870524,0.06351773194712824,5,105,COMPLETE
5,0.9586058822817126,2025-07-19 15:50:41.703651,2025-07-19 15:50:47.879612,0 days 00:00:06.175961,0.258714954883114,7,194,COMPLETE
6,0.9644738377274029,2025-07-19 15:50:47.881124,2025-07-19 15:50:49.049042,0 days 00:00:01.167918,0.2545490085538617,5,63,COMPLETE
7,0.9632035563722523,2025-07-19 15:50:49.050292,2025-07-19 15:50:52.771292,0 days 00:00:03.721000,0.034472591867958785,10,80,COMPLETE
8,0.9650479657377593,2025-07-19 15:50:52.772653,2025-07-19 15:50:55.734345,0 days 00:00:02.961692,0.10023259215106092,4,167,COMPLETE
9,0.9621965380425369,2025-07-19 15:50:55.736433,2025-07-19 15:50:59.126229,0 days 00:00:03.389796,0.21574774804866853,7,101,COMPLETE
10,0.9646870412607688,2025-07-19 15:50:59.127532,2025-07-19 15:51:02.697676,0 days 00:00:03.570144,0.1358339974382539,5,144,COMPLETE
11,0.9651249032789938,2025-07-19 15:51:02.699217,2025-07-19 15:51:04.319337,0 days 00:00:01.620120,0.29841557305805794,3,119,COMPLETE
12,0.9642146901610463,2025-07-19 15:51:04.320862,2025-07-19 15:51:07.352882,0 days 00:00:03.032020,0.17578947061334016,5,128,COMPLETE
13,0.9654357800581189,2025-07-19 15:51:07.354442,2025-07-19 15:51:09.518986,0 days 00:00:02.164544,0.13814884781431358,4,112,COMPLETE
14,0.9629668705154288,2025-07-19 15:51:09.520377,2025-07-19 15:51:13.015116,0 days 00:00:03.494739,0.011230841361651353,6,142,COMPLETE
